"state_id","district_id","subdistrict_id","uid","suid","Area_Name","state_name","district_name","subdistrict_name","total_pop","pop_others","pop_SC","pop_ST","pop_literate","pop_muslim","pop_hindu","pop_male","pop_female","pop_otherrel","village_area_hectares","power_use_all_sum","power_use_all_win","power_use_all","total_pop_mf","male_ratio","female_ratio","otherrel_ratio","hindu_ratio","muslim_ratio","sd_male_ratio","sd_female_ratio","sd_otherrel_ratio","sd_hindu_ratio","sd_muslim_ratio","st_ratio","sc_ratio","others_ratio","lit_ratio","sd_st_ratio","sd_sc_ratio","sd_others_ratio","sd_lit_ratio","subdist_ratio","ID","avg_masked_rad_2012","avg_masked_rad_2013","avg_masked_rad_2014","avg_masked_rad_2015","avg_masked_rad_2016","avg_masked_rad_2017","avg_masked_rad_2018","avg_masked_rad_2019","avg_masked_rad_2020","avg_masked_rad_2021"
"08","099","00457",809900457,"rajasthan-ganganagar-karanpur","Sub-District - Karanpur","rajasthan","ganganagar","karanpur",111567,53758,57505,304,64790,555,59271,58635,52932,51742,71337.63,3,4,0,46782728,0.525558632929092,0.474441367070908,0.463775130638988,0.531259243324639,0.00497458926026513,0.00125334717547895,0.00113144321126378,0.00110600647315821,0.00126694193634882,1.18633526458739e-05,0.00272482006328036,0.515430189930714,0.481844990006005,0.580727275986627,6.49812469251472e-06,0.00122919296198375,0.00114909930006647,0.0013849128250922,0.00238479038674273,1569,0.304291586850681,0.338463604825853,0.318739813308005,0.316762740139829,0.255106586319266,0.336440028751298,0.375077765250817,0.36677415725127,0.416784642967189,0.455689320487538
"08","099","00459",809900459,"rajasthan-ganganagar-sadulshahar","Sub-District - Sadulshahar","rajasthan","ganganagar","sadulshahar",122132,75104,46845,183,70022,2465,88966,65348,56784,30701,73051.08,2,3,0,46782728,0.535060426423869,0.464939573576131,0.251375560868568,0.728441358530115,0.0201830806013166,0.00139684030396859,0.0012137812912492,0.000656246467713469,0.0019016847414285,5.26903860758184e-05,0.00149837880326204,0.383560410048145,0.614941211148593,0.573330494874398,3.91170006161248e-06,0.00100133108954228,0.0016053788056139,0.00149674897111601,0.00261062159521779,1571,0.249641131979986,0.272171729786787,0.240116958434198,0.251213347187517,0.218430546921483,0.333758997173595,0.357517793256172,0.342099368098247,0.345798731057595,0.41191053562326
"08","099","00460",809900460,"rajasthan-ganganagar-padampur","Sub-District - Padampur","rajasthan","ganganagar","padampur",134303,83537,50583,183,81149,715,97347,70540,63763,36241,81707.98,5,6,1,46782728,0.525230262912965,0.474769737087035,0.269845051860346,0.724831165349992,0.00532378278966218,0.00150782143358549,0.00136296027884479,0.000774666240070481,0.00208083205408629,1.52834182735133e-05,0.0013625905601513,0.376633433355919,0.62200397608393,0.604223286151463,3.91170006161248e-06,0.001081232372768,0.00178563763960067,0.00173459316010815,0.00287078171243028,1572,0.196423781437286,0.21810782727409,0.173371553979332,0.179290830992759,0.149814935224607,0.218048929507166,0.247642259502541,0.252873517110829,0.265565725484614,0.293589799915997
"08","099","00461",809900461,"rajasthan-ganganagar-raisinghnagar","Sub-District - Raisinghnagar","rajasthan","ganganagar","raisinghnagar",168125,90902,77072,151,99785,957,116358,88094,80031,50810,123431.72,5,5,0,46782728,0.523979182156134,0.476020817843866,0.3022156133829,0.69209219330855,0.00569219330855019,0.00188304538375787,0.00171069545153502,0.00108608459087721,0.00248719997688036,2.04562675353177e-05,0.00089814126394052,0.458420817843866,0.540681040892193,0.593516728624535,3.22768693608462e-06,0.00164744561283386,0.00194306753552294,0.00213294530408744,0.00359374083529289,1573,0.197383950611824,0.220725788008793,0.181295374393079,0.179680563365345,0.157942270632978,0.197013587152625,0.206629100911853,0.228863391771926,0.269940993439621,0.332119583882658
"08","099","00462",809900462,"rajasthan-ganganagar-anupgarh","Sub-District - Anupgarh","rajasthan","ganganagar","anupgarh",153546,78017,75018,511,85118,1993,104591,80813,72733,46961,107883.24,1,1,0,46782728,0.526311333411486,0.473688666588514,0.305843200083363,0.681170463574434,0.0129798236359137,0.00172741102229011,0.00155469770809432,0.00100381063712232,0.00223567552537766,4.26011924742824e-05,0.00332799291417556,0.4885702004611,0.508101806624725,0.554348533989814,1.09228345982731e-05,0.00160354052033904,0.00166764537544711,0.00181943216308378,0.00328210873038443,1574,0.30939450580687,0.336516540559994,0.282882535612772,0.29915200802903,0.267114403026519,0.330916511261176,0.342351991901816,0.343887142255796,0.396209670056611,0.540065465349666
"08","099","00463",809900463,"rajasthan-ganganagar-gharsana","Sub-District - Gharsana","rajasthan","ganganagar","gharsana",141840,75570,65849,421,78779,7116,101070,74952,66888,33654,135750.47,0,1,0,46782728,0.528426395939086,0.471573604060914,0.237267343485618,0.71256345177665,0.0501692047377327,0.00160212974326764,0.00142975843563462,0.000719368053953587,0.00216041270615942,0.000152107418789259,0.00296813310772702,0.464248448956571,0.532783417935702,0.55540750141004,8.99904768272598e-06,0.00140754938446514,0.0016153397467544,0.00168393343799874,0.00303188817890226,1575,0.280354486376641,0.288295473412364,0.248461549350779,0.223470420892864,0.199089022175142,0.228647092746744,0.242167867150475,0.216494480108634,0.258875403711478,0.319838482546573
"08","099","00464",809900464,"rajasthan-ganganagar-vijainagar","Sub-District - Vijainagar","rajasthan","ganganagar","vijainagar",119765,61975,57653,137,66169,1397,91271,63231,56534,27097,81894.45,3,3,0,46782728,0.527958919550787,0.472041080449213,0.22625140900931,0.76208408132593,0.0116645096647602,0.00135158856063289,0.00120843743870601,0.000579209489450893,0.00195095506187668,2.98614480113259e-05,0.00114390681751764,0.48138437773974,0.517471715442742,0.552490293491421,2.92843119366618e-06,0.00123235652268931,0.00132474104545592,0.00141438951572042,0.0025600259993389,1576,0.290661911746194,0.315183283919303,0.257608946478796,0.287065274714578,0.251910987797673,0.283745937509073,0.300552912683012,0.288578773171125,0.283768710949782,0.301031319138908
"08","099","00465",809900465,"rajasthan-ganganagar-suratgarh","Sub-District - Suratgarh","rajasthan","ganganagar","suratgarh",250013,169296,80107,610,136608,15813,208060,133435,116578,26141,274900.24,2,3,0,46782728,0.533712246963158,0.466287753036842,0.104558562954726,0.83219672577026,0.0632487110670245,0.00285222785640034,0.00249190256711836,0.000558774597325748,0.00444736784054149,0.000338009361061629,0.00243987312659742,0.320411338610392,0.67714878826301,0.546403587013475,1.30390002053749e-05,0.00171231998270815,0.00361877144060517,0.00292005203287846,0.0053441304235187,1577,0.216450810243025,0.242501619300494,0.254594187658962,0.345177972019376,0.321285247254332,0.365566583460937,0.351743717196886,0.344124147201629,0.335076958101961,0.362990721385527
"08","100","00466",810000466,"rajasthan-hanumangarh-sangaria","Sub-District - Sangaria","rajasthan","hanumangarh","sangaria",122524,84626,37798,100,69040,5720,76017,64470,58054,40787,64472.5,4,5,0,46782728,0.526182625444811,0.473817374555189,0.332889882798472,0.620425386046815,0.0466847311547125,0.00137807269383692,0.00124092806216859,0.000871838854715783,0.00162489455510162,0.000122267346188106,0.000816166628578891,0.308494662270249,0.690689171101172,0.563481440370866,2.13754101727458e-06,0.000807947753709446,0.00180891546127879,0.00147575831832637,0.00261900075600551,1578,0.257494199404379,0.277018339880358,0.273931475106818,0.258259595086569,0.240428972754651,0.355804234734992,0.360029972799146,0.355954064273168,0.355405001824647,0.400563769381805
"08","100","00467",810000467,"rajasthan-hanumangarh-tibi","Sub-District - Tibi","rajasthan","hanumangarh","tibi",165217,104182,60681,354,90532,7636,117227,86128,79089,40354,72287.32,2,2,0,46782728,0.521302287294891,0.478697712705109,0.244248473220068,0.709533522579396,0.0462180042005363,0.00184102132735825,0.00169055981515229,0.000862583302110984,0.00250577520832047,0.000163222632079087,0.00214263665361313,0.367280606717226,0.63057675662916,0.547958139900858,7.56689520115201e-06,0.00129708126469239,0.002226932982617,0.00193515863375902,0.00353158114251054,1579,0.280005414656174,0.320625800545721,0.274963337763932,0.289777788418661,0.222159847184811,0.288995764312142,0.283816187830859,0.276981349353144,0.285737265079935,0.317070634518029
