ec05_state_id,ec05_district_id,ec05_town_id,shrid
"01","01","01","11-01-800002"
"01","01","02","11-01-800001"
"01","02","01","11-01-800010"
"01","02","02","11-01-800006"
"01","02","03","11-01-800012"
"01","02","04","11-01-800011"
"01","02","05","11-01-800008"
"01","02","06","11-01-800005"
"01","02","07","11-01-800003"
"01","02","09","11-01-800007"
"01","03","01","11-01-800014"
"01","03","02","11-01-800015"
"01","04","01","11-01-000830"
"01","04","02","11-01-800021"
"01","04","03","11-01-800018"
"01","04","04","11-01-800016"
"01","04","05","11-01-800019"
"01","05","01","11-01-800023"
"01","05","02","11-01-800022"
"01","05","03","11-01-800026"
"01","05","04","11-01-800027"
"01","05","05","11-01-800025"
"01","05","06","11-01-800024"
"01","06","01","11-01-800034"
"01","06","02","11-01-800033"
"01","06","03","11-01-800030"
"01","06","04","11-01-800037"
"01","06","05","11-01-800040"
"01","06","06","11-01-800032"
"01","06","07","11-01-800028"
"01","06","08","11-01-800038"
"01","06","09","11-01-800039"
"01","07","01","11-01-800047"
"01","09","01","11-01-800051"
"01","09","02","11-01-800053"
"01","09","03","11-01-800050"
"01","09","04","11-01-800049"
"01","09","05","11-01-800054"
"01","09","06","11-01-800052"
"01","10","01","11-01-800057"
"01","10","02","11-01-800061"
"01","10","03","11-01-800058"
"01","10","04","11-01-800059"
"01","10","05","11-01-004954"
"01","10","06","11-01-800055"
"01","11","01","11-01-800062"
"01","12","01","11-01-800066"
"01","12","02","11-01-800065"
"01","12","03","11-01-800067"
"01","12","04","11-01-800064"
"01","13","01","11-01-800069"
"01","13","02","11-01-800076"
"01","13","03","11-01-800077"
"01","13","04","11-01-800075"
"01","13","05","11-01-800073"
"01","13","06","11-01-006671"
"01","13","07","11-01-800071"
"01","13","08","11-01-800072"
"01","13","09","11-01-800068"
"01","13","10","11-01-800070"
"01","13","11","11-01-800080"
"01","13","12","11-01-800074"
"01","13","13","11-01-800079"
"01","13","14","11-01-800078"
"01","14","01","11-01-800082"
"01","14","02","11-01-800081"
"01","14","03","11-01-800086"
"01","14","04","11-01-800084"
"01","14","05","11-01-800085"
"01","14","06","11-01-800083"
"02","01","01","11-02-800089"
"02","01","02","11-02-800091"
"02","01","03","11-02-800090"
"02","01","04","11-02-800088"
"02","01","05","11-02-800087"
"02","02","01","11-02-800097"
"02","02","02","11-02-800093"
"02","02","03","11-02-800098"
"02","02","04","11-02-800095"
"02","02","05","11-02-800093"
"02","02","06","11-02-800096"
"02","02","07","11-02-800092"
"02","02","08","11-02-800099"
"02","02","09","11-02-800094"
"02","04","01","11-02-800103"
"02","04","02","11-02-800102"
"02","04","03","11-02-800100"
"02","05","01","11-02-800104"
"02","05","02","11-02-800107"
"02","05","04","11-02-800108"
"02","05","05","11-02-800105"
"02","05","06","11-02-800106"
"02","06","01","11-02-800112"
"02","06","02","11-02-800111"
"02","06","03","11-02-800110"
"02","06","04","11-02-800109"
"02","07","01","11-02-800113"
"02","07","02","11-02-800114"
"02","07","03","11-02-800116"
"02","07","04","11-02-800117"
"02","07","05","11-02-800115"
"02","08","01","11-02-800121"
"02","08","02","11-02-800118"
"02","08","03","11-02-800120"
"02","08","04","11-02-800119"
"02","09","01","11-02-800122"
"02","09","02","11-02-800124"
"02","09","03","11-02-800127"
"02","09","04","11-02-800125"
"02","09","05","11-02-800123"
"02","09","06","11-02-800126"
"02","09","07","11-02-800129"
"02","09","08","11-02-800128"
"02","10","01","11-02-800131"
"02","10","02","11-02-800132"
"02","10","03","11-02-800130"
"02","11","01","11-02-800139"
"02","11","02","11-02-800137"
"02","11","03","11-02-800136"
"02","11","04","11-02-800141"
"02","11","05","11-02-800134"
"02","11","06","11-02-800133"
"02","11","07","11-02-800142"
"02","11","08","11-02-800135"
"02","11","09","11-02-800137"
"02","11","10","11-02-800138"
"03","01","01","11-03-800149"
"03","01","03","11-03-800147"
"03","01","04","11-03-800152"
"03","01","05","11-03-800145"
"03","01","06","11-03-800148"
"03","01","08","11-03-800146"
"03","01","09","11-03-800144"
"03","01","10","11-03-800150"
"03","01","11","11-03-800151"
"03","01","12","11-03-800143"
"03","01","13","11-03-027772"
"03","02","01","11-03-800252"
"03","02","02","11-03-800250"
"03","02","03","11-03-800247"
"03","02","05","11-03-800251"
"03","02","06","11-03-800249"
"03","02","07","11-03-800255"
"03","02","08","11-03-800248"
"03","02","09","11-03-800246"
"03","02","10","11-03-800253"
"03","02","11","11-03-800254"
"03","02","12","11-03-037850"
"03","02","13","11-03-800256"
"03","03","01","11-03-800154"
"03","03","02","11-03-800153"
"03","03","03","11-03-800156"
"03","03","04","11-03-029355"
"03","03","05","11-03-800155"
"03","03","06","11-03-800158"
"03","03","07","11-03-800157"
"03","04","01","11-03-800168"
"03","04","02","11-03-800167"
"03","04","03","11-03-800170"
"03","04","04","11-03-800162"
"03","04","05","11-03-800166"
"03","04","06","11-03-800165"
"03","04","07","11-03-800169"
"03","04","08","11-03-800159"
"03","04","09","11-03-800161"
"03","04","10","11-03-800164"
"03","04","11","11-03-800163"
"03","04","12","11-03-800160"
"03","05","01","11-03-031760"
"03","05","02","11-03-800172"
"03","05","03","11-03-800179"
"03","05","04","11-03-800173"
"03","05","05","11-03-800175"
"03","05","06","11-03-800176"
"03","05","07","11-03-031343"
"03","05","08","11-03-800174"
"03","05","09","11-03-800177"
"03","05","10","11-03-031344"
"03","05","11","11-03-800171"
"03","05","12","11-03-800178"
"03","06","01","11-03-800180"
"03","06","02","11-03-800183"
"03","06","03","11-03-800181"
"03","06","04","11-03-800182"
"03","07","01","11-03-800257"
"03","07","04","11-03-800262"
"03","07","06","11-03-800261"
"03","07","08","11-03-800258"
"03","07","10","11-03-800259"
"03","07","11","11-03-800266"
"03","08","01","11-03-800186"
"03","08","02","11-03-800184"
"03","08","03","11-03-800187"
"03","08","04","11-03-800188"
"03","08","05","11-03-800185"
"03","09","01","11-03-033755"
"03","09","02","11-03-800194"
"03","09","03","11-03-800199"
"03","09","04","11-03-800191"
"03","09","05","11-03-800196"
"03","09","06","11-03-800189"
"03","09","07","11-03-800193"
"03","09","08","11-03-800197"
"03","09","09","11-03-800192"
"03","09","10","11-03-800198"
"03","09","11","11-03-800195"
"03","09","12","11-03-800190"
"03","10","01","11-03-800200"
"03","10","02","11-03-800201"
