ec90_state_id,ec90_district_id,ec90_town_id,shrid
"02","01","0001","11-28-802941"
"02","01","0002","11-28-802939"
"02","01","0006","11-28-802938"
"02","01","0008","11-28-802940"
"02","02","0001","11-28-802944"
"02","02","0003","01-28-41208000"
"02","02","0004","11-28-583130"
"02","02","0005","11-28-582798"
"02","02","0006","11-28-583164"
"02","02","0007","11-28-802943"
"02","02","0008","11-28-802945"
"02","02","0009","11-28-802946"
"02","04","0003","11-28-587400"
"02","04","0006","01-28-41411000"
"02","04","0007","11-28-802951"
"02","04","0008","11-28-802954"
"02","04","0009","11-28-802952"
"02","04","0010","91-02-0400300200"
"02","04","0011","11-28-802957"
"02","04","0012","11-28-587502"
"02","04","0013","11-28-587205"
"02","04","0014","11-28-587831"
"02","04","0015","11-28-802953"
"02","04","0016","11-28-587503"
"02","04","0017","11-28-802950"
"02","05","0001","11-28-588598"
"02","05","0002","11-28-802964"
"02","05","0003","11-28-802962"
"02","05","0004","11-28-802959"
"02","05","0007","11-28-802966"
"02","05","0008","11-28-588681"
"02","05","0009","11-28-802961"
"02","05","0010","11-28-802963"
"02","06","0005","11-28-802970"
"02","06","0009","11-28-589508"
"02","06","0011","11-28-802972"
"02","06","0013","11-28-802968"
"02","06","0015","91-02-0600500300"
"02","07","0003","11-28-802980"
"02","07","0004","11-28-802981"
"02","07","0006","11-28-802976"
"02","07","0009","11-28-802983"
"02","07","0013","11-28-802982"
"02","07","0015","01-28-41704000"
"02","08","0001","11-28-590769"
"02","08","0008","11-28-802988"
"02","08","0009","11-28-802988"
"02","08","0011","11-28-591023"
"02","09","0001","11-28-802992"
"02","09","0005","91-02-0900104000"
"02","09","0006","11-28-802991"
"02","10","0001","11-28-803019"
"02","10","0009","11-28-595773"
"02","10","0011","11-28-596010"
"02","11","0005","01-28-42008000"
"02","11","0008","11-28-593294"
"02","11","0015","11-28-592856"
"02","12","0001","11-28-803009"
"02","12","0004","11-28-803007"
"02","12","0005","11-28-803012"
"02","12","0008","11-28-595435"
"02","12","0009","11-28-595448"
"02","12","0011","11-28-803008"
"02","12","0012","11-28-594902"
"02","13","0005","01-28-42107000"
"02","13","0010","11-28-803004"
"02","13","0011","11-28-593976"
"02","14","0002","11-28-575385"
"02","14","0003","11-28-575211"
"02","14","0008","11-28-575744"
"02","14","0009","11-28-802923"
"02","14","0011","11-28-802924"
"02","15","0001","11-28-802918"
"02","15","0002","11-28-802918"
"02","15","0004","11-28-802918"
"02","15","0005","11-28-802918"
"02","15","0006","11-28-802918"
"02","15","0007","11-28-802918"
"02","15","0008","11-28-802918"
"02","15","0009","11-28-802918"
"02","15","0010","11-28-802918"
"02","15","0011","11-28-802918"
"02","15","0013","11-28-802918"
"02","15","0014","11-28-802918"
"02","15","0015","11-28-802918"
"02","15","0016","11-28-802918"
"02","17","0001","11-28-802918"
"02","17","0002","11-28-802918"
"02","17","0003","11-28-802918"
"02","17","0004","11-28-802918"
"02","17","0005","11-28-802918"
"02","17","0006","11-28-802918"
"02","17","0007","11-28-802918"
"02","17","0008","11-28-802918"
"02","17","0009","11-28-802918"
"02","17","0010","11-28-802918"
"02","19","0002","11-28-569539"
"02","19","0006","11-28-570569"
"02","19","0009","11-28-802901"
"02","20","0001","11-28-802908"
"02","20","0008","11-28-802907"
"02","20","0009","11-28-802912"
"02","20","0010","11-28-572368"
"02","21","0003","91-02-2100300200"
"02","22","0007","11-28-579212"
"02","22","0010","11-28-802935"
"02","23","0002","11-28-577259"
"02","23","0003","11-28-577573"
"02","23","0004","11-28-802929"
"02","23","0006","11-28-802927"
"03","02","0001","11-12-801426"
"03","04","0001","11-12-801443"
"03","06","0001","11-12-801432"
"03","07","0001","11-12-801435"
"03","08","0001","11-12-801446"
"03","09","0001","11-12-801447"
"03","09","0002","11-12-801448"
"03","11","0001","11-12-801441"
"04","01","0001","11-18-280885"
"04","01","0002","11-18-801548"
"04","01","0003","11-18-801549"
"04","01","0004","11-18-801550"
"04","01","0005","11-18-801551"
"04","01","0007","11-18-281759"
"04","02","0001","11-18-801546"
"04","02","0002","11-18-801547"
"04","02","0003","11-18-801622"
"04","03","0001","11-18-801623"
"04","03","0003","11-18-301461"
"04","03","0005","11-18-801621"
"04","04","0001","11-18-801554"
"04","04","0002","11-18-801553"
"04","05","0001","11-18-801555"
"04","05","0002","11-18-801556"
"04","05","0003","11-18-801557"
"04","05","0006","11-18-283005"
"04","05","0007","11-18-801560"
"04","06","0001","11-18-801628"
"04","06","0002","11-18-801629"
"04","07","0001","11-18-801624"
"04","07","0002","11-18-302706"
"04","07","0003","11-18-302704"
"04","07","0006","11-18-801624"
"04","07","0007","11-18-801627"
"04","08","0002","11-18-801630"
"04","08","0004","11-18-801633"
"04","09","0001","11-18-801572"
"04","09","0002","11-18-801570"
"04","09","0003","11-18-801571"
"04","09","0004","11-18-801573"
"04","10","0001","11-18-801576"
"04","10","0002","11-18-801577"
"04","11","0001","11-18-801579"
"04","12","0001","11-18-801561"
"04","13","0001","11-18-801562"
"04","13","0004","11-18-801566"
"04","13","0060","11-18-285495"
"04","14","0001","11-18-801601"
"04","14","0002","11-18-801599"
"04","14","0003","11-18-801600"
"04","15","0001","11-18-801595"
"04","15","0003","11-18-801598"
"04","16","0001","11-18-801590"
"04","16","0002","11-18-801589"
"04","16","0003","11-18-801591"
"04","16","0005","11-18-801593"
"04","17","0002","11-18-801586"
"04","17","0003","11-18-291355"
"04","17","0005","11-18-291703"
"04","18","0001","11-18-801583"
"04","19","0001","11-18-801609"
"04","19","0002","11-18-801608"
"04","19","0004","11-18-801607"
"04","20","0001","11-18-801611"
"04","20","0002","11-18-801612"
"04","20","0003","11-18-801613"
"04","21","0001","11-18-801616"
"04","21","0002","11-18-801617"
"04","21","0003","11-18-300230"
"04","22","0001","11-18-801618"
"04","22","0002","11-18-801619"
"04","23","0001","11-18-801615"
"04","23","0002","11-18-801614"
"05","01","0002","11-10-801379"
"05","01","0003","11-10-801380"
"05","01","0004","11-10-801374"
"05","01","0005","11-10-801378"
"05","01","0006","11-10-801370"
"05","01","0007","11-10-801372"
"05","01","0008","11-10-801371"
"05","01","0009","11-10-801369"
"05","01","0010","11-10-801382"
"05","01","0011","11-10-801381"
"05","01","0012","11-10-801383"
"05","01","0013","11-10-245825"
"05","02","0001","11-10-801364"
"05","02","0002","11-10-801367"
"05","02","0003","11-10-801368"
"05","02","0004","11-10-801365"
"05","02","0005","11-10-801366"
"05","03","0001","11-10-801385"
"05","03","0002","11-10-801388"
"05","03","0003","11-10-801387"
"05","03","0004","11-10-801384"
"05","03","0005","11-10-801386"
"05","03","0006","11-10-801389"
"05","03","0007","11-10-801391"
"05","03","0008","11-10-801390"
"05","04","0001","11-10-801397"
"05","04","0002","11-10-801393"
"05","04","0003","11-10-801394"
"05","04","0005","11-10-801398"
"05","04","0006","11-10-801392"
"05","04","0007","11-10-801396"
"05","05","0001","11-10-801401"
"05","05","0002","01-10-43402000"
"05","05","0003","11-10-801402"
"05","05","0004","11-10-801399"
"05","05","0005","11-10-801400"
"05","06","0001","11-10-801413"
"05","06","0002","11-10-801414"
"05","07","0001","11-10-801404"
"05","07","0002","11-10-801406"
"05","07","0003","11-10-801405"
"05","07","0004","11-10-801403"
"05","07","0005","91-05-0700300200"
"05","08","0001","11-10-801407"
"05","08","0002","11-10-801409"
"05","08","0003","11-10-801408"
"05","09","0001","11-10-801333"
"05","09","0002","11-10-801332"
"05","09","0003","11-10-801336"
"05","09","0004","11-10-801335"
"05","09","0005","11-10-801334"
"05","10","0001","11-10-801329"
"05","10","0002","11-10-801331"
"05","10","0003","11-10-801330"
"05","11","0001","11-10-801327"
"05","11","0002","11-10-801326"
"05","11","0003","11-10-801328"
"05","11","0004","11-10-801325"
"05","12","0001","11-10-801281"
"05","12","0002","11-10-801280"
"05","12","0003","11-10-801278"
"05","12","0004","11-10-801279"
"05","12","0005","11-10-801277"
"05","13","0001","11-10-801285"
"05","13","0002","01-10-40204000"
"05","13","0003","11-10-801283"
"05","13","0004","11-10-801282"
"05","13","0005","11-10-801288"
"05","13","0006","11-10-801284"
"05","14","0001","11-10-801295"
"05","14","0003","11-10-801296"
"05","14","0004","11-10-801294"
"05","14","0005","11-10-801293"
"05","14","0006","11-10-801297"
"05","14","0007","11-10-801292"
"05","15","0001","11-10-801324"
"05","15","0002","11-10-801323"
"05","15","0003","11-10-801322"
"05","16","0001","11-10-801338"
"05","16","0002","11-10-801337"
"05","16","0003","11-10-801339"
"05","17","0003","91-05-1700100000"
"05","17","0004","91-05-1700101000"
"05","18","0001","11-10-801340"
"05","18","0003","11-10-801341"
"05","18","0004","01-10-41902000"
"05","18","0005","11-10-801342"
"05","18","0006","11-10-237301"
"05","19","0001","11-10-801319"
"05","20","0001","11-10-801299"
"05","20","0002","11-10-801298"
"05","20","0003","11-10-801300"
"05","20","0004","11-10-801301"
"05","21","0001","11-10-801318"
"05","21","0002","11-10-801304"
"05","21","0003","11-10-801303"
"05","21","0004","11-10-801302"
"05","21","0005","11-10-221071"
"05","21","0006","11-10-220942"
"05","22","0001","11-10-801316"
"05","22","0002","11-10-801317"
"05","22","0003","11-10-226081"
"05","23","0001","11-10-801312"
"05","23","0002","11-10-801311"
"05","23","0003","11-10-801313"
"05","24","0003","11-10-801315"
"05","25","0001","11-10-801349"
"05","25","0002","11-10-801350"
"05","26","0001","11-10-801357"
"05","26","0002","11-10-801358"
"05","26","0003","11-10-242638"
"05","26","0004","11-10-801359"
"05","26","0005","11-10-801411"
"05","26","0006","11-10-801412"
"05","26","0007","11-10-801361"
"05","26","0009","11-10-801362"
"05","26","0010","11-10-801360"
"05","27","0002","11-10-801353"
"05","27","0003","11-10-801352"
"05","27","0004","11-10-801351"
"05","27","0005","11-10-801356"
"05","27","0006","11-10-801355"
"05","28","0001","11-20-801771"
"05","29","0001","11-20-801772"
"05","29","0002","11-20-801773"
"05","29","0003","11-20-358526"
"05","29","0004","11-20-801774"
"05","30","0001","11-20-801791"
"05","30","0002","11-20-801792"
"05","30","0003","11-20-801793"
"05","30","0004","11-20-801790"
"05","31","0001","11-20-801769"
"05","31","0002","01-20-40701000"
"05","31","0003","11-20-801770"
"05","32","0001","11-20-801775"
"05","32","0009","01-20-41228000"
"05","32","0011","01-20-41235000"
"05","32","0012","01-20-41232000"
"05","32","0014","01-20-41206000"
"05","32","0015","11-20-362193"
"05","32","0022","11-20-362723"
"05","32","0023","11-20-361403"
"05","32","0024","11-20-801778"
"05","32","0032","01-20-41217000"
"05","32","0033","11-20-361864"
"05","32","0034","11-20-361835"
"05","32","0037","11-20-361935"
"05","33","0001","11-20-801768"
"05","33","0002","11-20-352566"
"05","33","0007","11-20-362417"
"05","33","0008","11-20-362421"
"05","33","0010","11-20-352240"
"05","33","0011","11-20-352759"
"05","34","0001","11-20-801788"
"05","34","0002","11-20-368939"
"05","34","0003","11-20-369092"
"05","34","0004","11-20-801789"
"05","34","0005","11-20-369121"
"05","34","0007","11-20-369009"
"05","34","0008","11-20-369013"
"05","34","0009","11-20-801765"
"05","34","0010","11-20-801767"
"05","34","0011","11-20-801766"
"05","34","0012","11-20-368578"
"05","34","0015","11-20-368662"
"05","35","0001","11-20-801786"
"05","35","0003","11-20-801787"
"05","35","0004","11-20-367024"
"05","35","0005","11-20-801764"
"05","35","0007","11-20-367010"
"05","36","0001","11-20-801779"
"05","37","0001","11-20-801797"
"05","37","0002","11-20-801798"
"05","38","0001","11-20-801794"
"05","38","0003","11-20-373461"
"05","38","0005","11-20-801796"
"05","38","0006","11-20-801795"
"05","39","0001","11-20-801781"
"05","39","0004","11-20-363618"
"05","39","0005","11-20-801783"
"05","39","0006","11-20-363456"
"05","40","0001","11-20-801800"
"05","40","0002","11-20-378290"
"05","40","0003","11-20-377918"
"05","40","0007","11-20-801802"
"05","40","0008","11-20-379462"
"05","40","0009","01-20-41706000"
"05","40","0011","01-20-41711000"
"05","40","0014","11-20-377852"
"05","41","0001","11-10-801307"
"05","41","0002","11-10-801306"
"05","41","0003","11-10-801305"
"05","42","0001","11-10-801310"
"05","42","0002","11-10-801309"
"05","42","0003","11-10-801308"
"06","01","0013","11-30-803241"
"06","01","0014","11-30-803247"
"06","01","0018","11-30-803246"
"06","02","0002","11-30-803254"
"06","02","0013","11-30-803253"
"07","01","0006","11-24-513913"
"07","01","0007","11-24-802521"
"07","01","0008","11-24-802520"
"07","01","0010","11-24-513486"
"07","01","0016","11-24-513704"
"07","01","0017","11-24-802517"
"07","01","0018","11-24-802518"
"07","02","0003","11-24-802504"
"07","02","0005","11-24-802507"
"07","02","0007","11-24-802506"
"07","02","0008","11-24-512921"
"07","02","0009","11-24-512731"
"07","02","0010","11-24-802503"
"07","02","0011","11-24-802500"
"07","02","0012","11-24-802499"
"07","02","0013","11-24-513104"
"07","03","0002","11-24-802494"
"07","03","0003","11-24-802497"
"07","03","0004","11-24-512426"
"07","03","0007","11-24-802490"
"07","03","0008","11-24-802491"
"07","03","0009","11-24-512108"
"07","03","0010","11-24-512159"
"07","03","0011","11-24-512189"
"07","04","0003","11-24-516804"
"07","04","0005","11-24-802557"
"07","04","0008","11-24-802553"
"07","04","0010","11-24-802552"
"07","04","0011","11-24-516414"
"07","04","0014","11-24-802550"
"07","04","0015","11-24-802548"
"07","04","0016","11-24-516016"
"07","04","0017","11-24-802549"
"07","05","0001","11-24-802542"
"07","05","0004","11-24-515697"
"07","05","0007","11-24-802537"
"07","05","0010","11-24-802539"
"07","05","0011","11-24-802540"
"07","05","0012","11-24-802541"
"07","06","0005","11-24-514687"
"07","06","0006","11-24-802534"
"07","06","0007","11-24-802523"
"07","06","0011","11-24-802531"
"07","06","0012","11-24-802522"
"07","06","0014","11-24-802535"
"07","06","0016","11-24-802525"
"07","06","0017","11-24-802527"
"07","06","0018","11-24-802526"
"07","06","0021","11-24-802530"
"07","06","0022","11-24-802538"
"07","06","0023","11-24-514420"
"07","07","0001","11-24-802445"
"07","07","0002","11-24-802445"
"07","07","0003","11-24-507349"
"07","07","0005","11-24-507105"
